,Unnamed: 0,class,question,sub_class,pos,ner
21,21,ENTY,Que peças de roupa são fichas do Monopólio ?,other,"['SCONJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'MISC', '']"
22,22,HUM,Diga o nome de 11. mártires famosos.,ind,"['VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'PUNCT', 'ADJ', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '', '', '']"
23,23,DESC,Qual é o lema Olímpico ?,desc,"['ADV', 'VERB', 'DET', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', 'MISC', '']"
24,24,DESC,Qual é a origem do nome Scarlett ?,desc,"['ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'PER', '']"
25,25,ENTY,Qual é a segunda vogal mais usada em Inglês ?,letter,"['ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADV', 'VERB', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', 'MISC', '']"
26,26,HUM,Quem foi o inventor do silly putty ?,ind,"['PRON', 'VERB', 'DET', 'NOUN', 'ADV', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '', '']"
27,27,LOC,Qual é a maior cascata dos Estados Unidos ?,other,"['X', 'VERB', 'DET', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'LOC', 'LOC', '']"
28,28,ENTY,Diga o nome de um campo de golf em Myrtle Beach.,other,"['VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', 'LOC', 'LOC', '']"
29,29,LOC,Quais são os dois estados onde se situa a baía de Chesapeake ?,state,"['SCONJ', 'VERB', 'DET', 'NUM', 'SYM', 'ADV', 'PRON', 'VERB', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', 'LOC', 'LOC', 'LOC', '']"
30,30,ABBR,O que significa a abreviatuta SIDA ?,exp,"['X', 'PRON', 'VERB', 'DET', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '']"
31,31,ENTY,O que é que um espermólogo colecciona ?,other,"['X', 'PRON', 'ADP', 'NOUN', 'DET', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '']"
32,32,NUM,Quantos pontos são necessários para fazer uma pontução perfeita de cinco pinos no bowling ?,count,"['PROPN', 'PROPN', 'VERB', 'ADJ', 'ADP', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NUM', 'SYM', 'ADP', 'ADJ', 'PUNCT']","['MISC', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
33,33,HUM,"Qual é a empresa, que manufactura hardware para video jogos, que vende o “super system” ?",gr,"['X', 'VERB', 'DET', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'DET', 'PROPN', 'PROPN', 'VERB', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
34,34,NUM,Quantas cartas da Caixa da Comunidade existem no Monopólio ?,count,"['VERB', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', '', '', 'ORG', 'ORG', 'ORG', '', '', 'MISC', '']"
35,35,DESC,Em que é que acreditam os Mormons ?,desc,"['ADP', 'PRON', 'ADP', 'NOUN', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'MISC', '']"
36,36,NUM,Quando é que o homem de Neandertal viveu ?,date,"['ADV', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADP', 'PROPN', 'VERB', 'PUNCT']","['', '', '', '', '', '', 'LOC', '', '']"
37,37,ENTY,Em que religião Isis era a deusa da natureza ?,religion,"['ADP', 'PRON', 'NOUN', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', 'PER', '', '', '', '', '', '']"
38,38,LOC,Onde decorrem as aventuras da Swiss Family Robinson ?,other,"['ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'ORG', 'ORG', 'ORG', '']"
39,39,ENTY,"Qual é o parente do guaxinim que, por vezes, é também conhecido como o gato-urso ?",animal,"['ADV', 'VERB', 'DET', 'NOUN', 'ADV', 'ADP', 'SCONJ', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
40,40,DESC,Como posso registar o meu website no Yahoo gratuitamente ?,manner,"['ADV', 'AUX', 'VERB', 'DET', 'DET', 'NOUN', 'ADP', 'PROPN', 'ADV', 'PUNCT']","['', '', '', '', '', '', '', 'ORG', '', '']"
41,41,ENTY,O que é que o poupado Coronel Edwwin L. Drake foi o primeiro a furar ?,other,"['X', 'PRON', 'ADP', 'NOUN', 'DET', 'VERB', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'VERB', 'DET', 'ADJ', 'ADP', 'VERB', 'PUNCT']","['', '', '', '', '', '', 'PER', 'PER', 'PER', 'PER', '', '', '', '', '', '']"
42,42,NUM,Quantas pessoas no mundo falam francês ?,count,"['VERB', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '']"
43,43,NUM,Quantas polegadas por seis pés mede a Vénus de Milo ?,count,"['AUX', 'VERB', 'ADP', 'NUM', 'SYM', 'VERB', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'MISC', 'MISC', 'MISC', '']"
44,44,DESC,Como é que se encontram ou escolhem testemunhas para uma execução ?,manner,"['ADV', 'ADP', 'NOUN', 'PRON', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '']"
45,45,HUM,"Que famoso cowboy em 1920. cavalgou Tony, the Wonder Horse ?",ind,"['SCONJ', 'ADJ', 'NOUN', 'ADP', 'NUM', 'PUNCT', 'VERB', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'PER', '', '', '', '', '']"
46,46,ENTY,Que cocktail inspirou John Doxat a escrever o livro Stirred-Not Shaken ?,food,"['SCONJ', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', 'PER', 'PER', '', '', '', '', 'PER', 'PER', '']"
47,47,HUM,Que ISP existe nas Caraíbas ?,gr,"['SCONJ', 'PROPN', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","['', 'MISC', '', '', 'MISC', 'MISC']"
48,48,DESC,Como se convida um completo estranho para sair ?,manner,"['SCONJ', 'PRON', 'VERB', 'DET', 'ADJ', 'ADJ', 'ADP', 'VERB', 'PUNCT']","['', '', '', '', '', '', '', '', '']"
49,49,ENTY,Com que arma era ábil a personagem mitológica Apolo ?,other,"['ADP', 'SCONJ', 'NOUN', 'VERB', 'ADJ', 'DET', 'NOUN', 'ADJ', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', 'PER', '']"
50,50,LOC,A que país pertencem as ilhas Galápagos ?,country,"['ADP', 'PRON', 'NOUN', 'VERB', 'DET', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'LOC', '']"
51,51,DESC,O que é a etologia ?,def,"['X', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '']"
52,52,HUM,Quem era o profeta do povo Muçulmano ?,ind,"['PRON', 'VERB', 'DET', 'NOUN', 'ADV', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'MISC', '']"
53,53,DESC,De onde vem o termo “86ED” ?,desc,"['ADP', 'ADV', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '']"
54,54,HUM,Quem é o arqui-inimigo do Snoopy ?,ind,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'PER', '']"
55,55,DESC,Qual é a natureza da aprendizagem ?,def,"['ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '']"
56,56,ENTY,Qual é a única cor que Johnny Cash usava em palco ?,color,"['X', 'VERB', 'DET', 'ADJ', 'NOUN', 'PRON', 'PROPN', 'PROPN', 'VERB', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', 'PER', 'PER', '', '', '', '']"
57,57,ENTY,Qual é o termo para designar uma raposa jovem ?,termeq,"['ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '', '', '', '']"
58,58,LOC,Que estado dos E.U.A viveu sob seis bandeiras ?,state,"['SCONJ', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'ADP', 'NUM', 'NOUN', 'PUNCT']","['', '', '', 'LOC', '', '', '', '', '']"
59,59,DESC,O que é o problema de Kashmir ?,def,"['X', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'PER', '']"
60,60,LOC,Onde se encontra o Loop ?,other,"['ADV', 'PRON', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', 'MISC', 'MISC']"
61,61,DESC,O que significa “definção extensa” e como se pode escrever uma redacção sobre isso ?,def,"['X', 'PRON', 'VERB', 'PROPN', 'NOUN', 'VERB', 'NOUN', 'CCONJ', 'ADV', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'PRON', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
62,62,LOC,De que país Tirana é a capital ?,country,"['ADP', 'PRON', 'NOUN', 'PROPN', 'VERB', 'DET', 'NOUN', 'PUNCT']","['', '', '', 'LOC', '', '', '', '']"
63,63,DESC,O que é titânio ?,def,"['X', 'PRON', 'VERB', 'NOUN', 'PUNCT']","['', '', '', '', '']"
64,64,HUM,Herb e Tootsie vivem ao lado da casa de quem ?,ind,"['PROPN', 'CCONJ', 'PROPN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PRON', 'PUNCT']","['PER', '', 'PER', '', '', '', '', '', '', '', '', '']"
65,65,LOC,Que cidade tem a mais antiga relação de geminação com a cidade de Los Angeles ?,city,"['SCONJ', 'NOUN', 'VERB', 'ADP', 'ADV', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', 'LOC', 'LOC', '']"
66,66,DESC,O que é uma caldeira ?,def,"['X', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '']"
67,67,DESC,Porque é que as pessoas ficam com calos ?,reason,"['SCONJ', 'ADP', 'NOUN', 'DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '']"
68,68,LOC,Quais são os nomes das atracções turísticas de Reims ?,other,"['SCONJ', 'VERB', 'DET', 'SYM', 'VERB', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', 'LOC', '']"
69,69,DESC,Por que motivo são famosos Cushman e Wakefield ?,reason,"['ADP', 'PRON', 'NOUN', 'VERB', 'ADJ', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT']","['', '', '', '', '', 'PER', '', 'PER', '']"
70,70,LOC,Em que mar desagua o Danúbio ?,other,"['ADP', 'PRON', 'VERB', 'NOUN', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
71,71,HUM,Quem é o fundador da cientologia ?,ind,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '']"
72,72,ENTY,Em que é que a mosca doméstica de seis pernas se torna quando entra numa casa ?,other,"['ADP', 'PRON', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADJ', 'ADP', 'NUM', 'NOUN', 'PRON', 'VERB', 'ADV', 'VERB', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
73,73,DESC,Qual é a história do skate ?,desc,"['X', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '']"
74,74,HUM,Quem entrou em Singing in the Rain e em The Singing Nun ?,ind,"['PRON', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'CCONJ', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', 'MISC', 'MISC', 'MISC', 'MISC', '', '', 'MISC', 'MISC', 'MISC', '']"
75,75,DESC,Como posso fazer tijolos de papel reciclado ?,manner,"['ADV', 'AUX', 'VERB', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PUNCT']","['', '', '', '', '', '', '', '']"
76,76,HUM,Que pintor do século XIX morreu nas ilhas Marquesas ?,ind,"['SCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'LOC', 'LOC', '']"
77,77,ENTY,O corpus callosum encontra-se em que parte do corpo ?,body,"['DET', 'NOUN', 'ADJ', 'PROPN', 'ADP', 'PRON', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '']"
78,78,DESC,Como é que se faz log on numa home page na sede do comando europeu dos E.U.A. ?,manner,"['ADV', 'ADP', 'NOUN', 'PRON', 'VERB', 'ADV', 'DET', 'VERB', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'LOC', '']"
79,79,LOC,Que país os nazis ocuparam em primeiro lugar ?,country,"['SCONJ', 'NOUN', 'DET', 'SYM', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '']"
80,80,ENTY,Qual é o recurso mais valioso do Nebrasca ?,other,"['ADV', 'VERB', 'DET', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'ORG', '']"
81,81,NUM,Quantas espécies do grande tubarão branco existem ?,count,"['VERB', 'NOUN', 'DET', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'PUNCT']","['', '', '', '', '', '', '', '']"
82,82,DESC,Qual é a origem dos piolhos ?,desc,"['ADV', 'VERB', 'DET', 'NOUN', 'VERB', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '']"
83,83,LOC,Qual é a abreviatura do nome do estado do Mississippi ?,state,"['ADV', 'VERB', 'DET', 'NOUN', 'ADV', 'NOUN', 'ADP', 'VERB', 'ADP', 'ADP', 'PUNCT']","['', '', '', '', '', '', '', '', '', 'LOC', '']"
84,84,ENTY,Qual foi o primeiro pássaro doméstico ?,animal,"['PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '']"
85,85,NUM,Quantas vilosidades se podem encontrar no intestino delgado ?,count,"['VERB', 'NOUN', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'VERB', 'PUNCT']","['', '', '', '', '', '', '', '', '']"
86,86,LOC,Em que país é que o Rei Wenceslas reinou ?,country,"['ADP', 'PRON', 'NOUN', 'VERB', 'SCONJ', 'DET', 'PROPN', 'PROPN', 'VERB', 'PUNCT']","['', '', '', '', '', '', 'PER', 'PER', '', '']"
87,87,ENTY,Como se chama a fobia a sombras ?,dismed,"['SCONJ', 'PRON', 'VERB', 'ADP', 'VERB', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '']"
88,88,HUM,Quem foram os cinco irmãos Marx ?,ind,"['PRON', 'VERB', 'DET', 'NUM', 'SYM', 'PROPN', 'PUNCT']","['', '', '', '', '', 'PER', '']"
89,89,NUM,Em que ano é que a Nova Zelândia fui excluída da aliança ANZUS ?,date,"['ADP', 'PRON', 'NOUN', 'VERB', 'SCONJ', 'DET', 'PROPN', 'PROPN', 'AUX', 'VERB', 'ADP', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'LOC', 'LOC', '', '', '', '', 'ORG', '']"
90,90,NUM,Quando é que a CNN começou a transmitir ?,date,"['ADV', 'ADP', 'NOUN', 'DET', 'PROPN', 'AUX', 'ADP', 'VERB', 'PUNCT']","['', '', '', '', 'ORG', '', '', '', '']"
91,91,DESC,Porque é que o corpo treme com as temperaturas baixas ?,reason,"['SCONJ', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '']"
92,92,DESC,O que é o mercado do urso e o mercado do touro ?,def,"['X', 'PRON', 'VERB', 'DET', 'NOUN', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '']"
93,93,ENTY,"Em que livro de J.R.R. Tolkie, Bilbo Baggins é a personagem central ?",cremat,"['ADP', 'PRON', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', 'PER', 'PER', '', 'PER', 'PER', '', '', '', '', '']"
94,94,DESC,O que é o ponto de condensação ?,def,"['X', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '']"
95,95,DESC,Qual é o significado de “Jesus” ?,def,"['ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'PER', '', '']"
96,96,HUM,Que companhia tem como logo um W dentro de um círculo ?,gr,"['SCONJ', 'NOUN', 'VERB', 'ADP', 'ADV', 'DET', 'PROPN', 'ADV', 'ADP', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', 'MISC', '', '', '', '', '']"
97,97,DESC,Qual é a definição de cascata ?,def,"['ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '']"
98,98,NUM,Quando é que a pintura e a arquitectura rococo floresceram ?,date,"['ADV', 'ADP', 'NOUN', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADJ', 'VERB', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '']"
99,99,LOC,Em que país é que o sistema nacional ferroviário se chama Via ?,country,"['ADP', 'PRON', 'NOUN', 'VERB', 'SCONJ', 'DET', 'NOUN', 'ADJ', 'NOUN', 'PRON', 'VERB', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', 'LOC', '']"
100,100,HUM,Quem é que inventou a maquilhagem ?,ind,"['PRON', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '']"
101,101,DESC,Qual é a origem da palavra “attic” ?,desc,"['ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'VERB', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '']"
102,102,DESC,O que é que Dalila fez ao cabelo de Sansão ?,desc,"['X', 'PRON', 'ADP', 'NOUN', 'PROPN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', 'PER', '', '', '', '', '', 'PER', '']"
103,103,ENTY,Que animais existiam na era Paleozóica ?,animal,"['SCONJ', 'PROPN', 'VERB', 'ADP', 'VERB', 'ADJ', 'PUNCT']","['', '', '', '', '', 'MISC', '']"
104,104,HUM,Qual dos seguintes foi discípulo de Rodes ?,ind,"['AUX', 'VERB', 'ADJ', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'LOC', '']"
105,105,HUM,Quem compremeteu a agora extinta equipa da revista de banda desenhada conhecida como “The Champions” ?,ind,"['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', 'MISC', 'MISC', '', '']"
106,106,DESC,Como se faz uma bola de paintball ?,manner,"['ADV', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '']"
107,107,LOC,Em que estado dos U.S.A. se encontra Fort Knox ?,state,"['ADP', 'PRON', 'NOUN', 'PROPN', 'PROPN', 'PRON', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', 'LOC', '', '', 'LOC', 'LOC', '']"
108,108,ENTY,Como se chama o coelho fêmea ?,animal,"['SCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'VERB', 'PUNCT']","['', '', '', '', '', '', '']"
