,class,question,sub_class
95,DESC,Qual é o significado de “Jesus” ?,def
96,HUM,Que companhia tem como logo um W dentro de um círculo ?,gr
97,DESC,Qual é a definição de cascata ?,def
98,NUM,Quando é que a pintura e a arquitectura rococo floresceram ?,date
99,LOC,Em que país é que o sistema nacional ferroviário se chama Via ?,country
100,HUM,Quem é que inventou a maquilhagem ?,ind
101,DESC,Qual é a origem da palavra “attic” ?,desc
102,DESC,O que é que Dalila fez ao cabelo de Sansão ?,desc
103,ENTY,Que animais existiam na era Paleozóica ?,animal
104,HUM,Qual dos seguintes foi discípulo de Rodes ?,ind
105,HUM,Quem compremeteu a agora extinta equipa da revista de banda desenhada conhecida como “The Champions” ?,ind
106,DESC,Como se faz uma bola de paintball ?,manner
107,LOC,Em que estado dos U.S.A. se encontra Fort Knox ?,state
108,ENTY,Como se chama o coelho fêmea ?,animal
109,LOC,Qual é o ponto mais alto do Japão ?,mount
110,DESC,De onde vêm os chihuahuas ?,desc
111,LOC,Para onde vai Barney Rubble trabalhar depois de ter deixado Fred nos desenhos animados “Flinstones” ?,other
112,LOC,Quais são os quatro oceanos do mundo ?,other
113,ENTY,Qual é o único trabalho de Miguel Ângelo que tem a sua assinatura ?,cremat
114,ENTY,Qual é a maior cobra do mundo ?,animal
115,ENTY,Em que meio é que Stuart Hamblen é considerado o comwboy cantor ?,cremat
116,LOC,Onde na internet é que eu posso encontrar uma base de dados de textos de canções semelhante ao International Lyric Server ?,other
117,NUM,Quanto é que um processo judicial sobre uma lesão de costas pode vir a custar ?,money
118,ENTY,Qual é o nome mais comum para o ácido acetilsalicílico ?,termeq
119,DESC,O que é a “Hoya” de Georgetown ?,def
120,LOC,Onde posso econtrar uma lista de livros “clássicos” que alunos do 5º e 6º ano possam ler ?,other
121,ENTY,Quais são os dois produtos que usam o tigre como símbolo ?,product
122,DESC,Como é que a eleição de um novo Papa é anunciada ao mundo ?,manner
123,NUM,Quanto tempo demora o nosso sangue a fazer uma viagem completa pelo corpo ?,period
124,DESC,Como é que as galinhas têm pintainhos ?,manner
125,DESC,Qual é relação histórica entre a Igreja Católica e o Bingo ?,desc
126,DESC,Como foi chamado o elemento calcium ?,manner
127,HUM,Que cantor dos Pistol Packin Mama se juntou aos The Andrews Sisters ?,ind
128,HUM,Que empresa de pianos diz que o seu produto é o “instrumento dos imortais” ?,gr
129,NUM,Quando aconteceu o motim do Bounty ?,date
130,ENTY,Que romance inspirou o filme Blade Runner ?,cremat
131,DESC,O que é um transistor ?,def
132,ENTY,O que é um filme com Jude Law ?,cremat
133,ENTY,Que cão de Hollywood morreu nos braços de Jean Harlow em 1932 ?,animal
134,ENTY,Quais são os elementos mais comuns na crosta da Terra ?,substance
135,NUM,"Quanto custa uma tenda de festa de 2. metros quadrados, com lados ?",money
136,HUM,Que actriz recebeu mais nomiações para os Óscares ?,ind
137,DESC,O que são títulos de capital próprio ?,def
138,DESC,O que é a gimnofobia ?,def
139,NUM,Quantos anos são necessários para formar um fóssil ?,count
140,LOC,Onde se encontra o Orinoco ?,other
141,ENTY,Qual é o nome do cão de “Os Batutinhas” ?,animal
142,LOC,"Que cidade, nas margens do rio Delaware, alberga Penn's Landing ?",city
143,ENTY,Que musical da Broadway foi inspirado no Don Quixote de Cervantes ?,cremat
144,DESC,Qual é a origem da sigla JJ ?,desc
145,NUM,Quantos reféns foram mortos no ataque a Entebbe ?,count
146,DESC,Como se pode aumentar o QI ?,manner
147,ABBR,O que significam as letras INRI usadas na cruz de Jesus ?,exp
148,HUM,Quem produz Spumante ?,gr
149,HUM,Quem ganha o seu dinheiro da maneira mais difícil ?,ind
150,HUM,Quem fundou a comuna People's Temple ?,ind
151,HUM,Quais são os atletas que mais dinheiro ganham com a venda de marchandising desportivo ?,ind
152,NUM,Quantas curvas faz um clip normal ?,count
153,HUM,Quem descobriu a electricidade ?,ind
154,ENTY,Em que parte do corpo humano se encontra o corpus callosum ?,body
155,HUM,Quem foi o primeiro americano no espaço ?,ind
156,LOC,Quais são os dois países Sul Americanos que não fazem fronteira com o Brasil ?,country
157,ENTY,Que album pôs os Beatles na capa da Times em 1967 ?,cremat
158,ENTY,De que poema é a frase “grow old with me the best is yet to be” ?,cremat
159,DESC,O que é um dente desvitalizado ?,def
160,ENTY,A revolta Wanna-Go-Home aconteceu depois de que guerra ?,event
161,NUM,Qual é a época do ano em que se fazem mais viagens aéreas ?,date
162,ENTY,Como se chama a parte colorida do olho ?,body
163,DESC,O que são minhocas de pesca ?,def
164,LOC,Onde se disputa a Rose Bowl ?,other
165,HUM,Que fabricante de carros japonês teve a maior percentagem de vendas no mercado interno ?,gr
166,HUM,Quem é o presidente da câmara de Marbella ?,ind
167,LOC,Que ensolarado vale de 14. milhas de largura se encontra a Norte do deserto de Mojave ?,other
168,NUM,Em que ano é que Thatcher se tornou primeira ministra ?,date
169,NUM,Quantos meses são necessários para a lua dar uma volta em torno da Terra ?,count
170,LOC,Onde se encontram os 49. degraus ?,other
171,NUM,Em que ano De Gaulle foi eleito presidente da França ?,date
172,HUM,Quem canta os temas de “Dawson's Creek e de “Felicity” ?,ind
173,HUM,Quem realizou “O Tubarão” ?,ind
174,ENTY,Em que programa de televisão podemos ver Tom Terrific ?,cremat
175,HUM,Que tribo índia a F Troop combate perpetuamente ?,gr
176,DESC,De onde é originário o Indian Pudding ?”,desc
177,DESC,Porque é que na etiqueta de algumas peças de roupa diz: “usar uma lixívia sem cloro” ?,reason
178,NUM,Quantas colónias estavam envolvidas na Revolução Americana ?,count
179,LOC,Como se chama a cidade onde vive Maurizio Pellegrin ?,city
180,LOC,Onde posso encontrar instruções ilustradas sobre como construir uma casa da árvore muito simples ?,other
181,ENTY,"Que jogo de tabuleiro tem os territórios de Irkutsk, Yakutsk e Kamchatka ?",sport
182,HUM,Qual é o nome do director da Apricot Computer ?,ind
183,HUM,Qual é o trabalho de Nicholas Cage ?,title
184,DESC,Porque é que as ferraduras dão sorte ?,reason
185,DESC,"O que é o plano 401, K ?",def
186,DESC,O que causa a pneumonia ?,reason
187,NUM,Quais são os três meses de Inverno no hemisfério Sul ?,date
188,DESC,O que significa gringo ?,def
189,LOC,Em que país se encontra a ponta extrema Norte de África ?,country
190,ENTY,Que terapia tenta induzir “o grito primal” ?,dismed
191,LOC,Onde se encontra o deserto Kalahari ?,other
192,HUM,Que departamento de polícia do condado de Ventura apreendeu o maior carregamento de cocaína da sua história ?,gr
193,LOC,Que cidade por vezes é chamada Gotham ?,city
194,ENTY,O que está pendurado no palato e pende sobre a língua ?,body
195,HUM,"Quem criou Dennis, o pimentinha ?",ind
196,HUM,Que boneco recebeu um diploma honorário da Universidade de Northwestern ?,ind
197,NUM,Quando foi publicado o primeiro Wall Street Journal ?,date
198,LOC,Que países têm a maior área florestal ?,country
199,DESC,Como posso começar um negócio baseado na web ?,manner
200,HUM,Diga o nome dos irmãos de Alvin.,ind
201,DESC,"O que é o síndrome de Eagle, alongamento do processo estilóide ?",def
202,DESC,Como morreu Jayne Mansfield ?,manner
203,NUM,Quando é que aconteceu o casamento entre o Príncipe Andrew e Fergie se casaram ?,date
204,HUM,Que actor disse em “A Day at the Races”: “Either he 's dead or my watch has stopped” ?,ind
205,HUM,Que explorador foi apelidado de Piloto da Ibéria ?,ind
206,NUM,A CNN começou a transmitir em que ano ?,date
207,ENTY,Como se chama uma jogada em que a bola bate no poste ?,termeq
208,DESC,O que faz com que os o hambúrgueres saibam a hambúrguer de vaca ?,reason
209,HUM,Que empresa criou o browser Mosaic ?,gr
210,ENTY,Como se chamam os rituais judaicos que acompanham a circuncisão de um recém-nascido ?,event
211,ENTY,O que era o sistema de educação nos anos 60 ?,other
212,LOC,Que cidade Sul Americana possui a pista de aterragem de vôos comerciais mais alta do mundo ?,city
213,DESC,Como posso descobrir que cidades têm acesso a modem por cabo ?,manner
214,DESC,Por que motivo é que Betsy Ross é famosa ?,reason
215,NUM,Quantas espécies de tubarões existem ?,count
216,DESC,O que são “snoogans” ?,def
217,NUM,Quantas pessoas existem no mundo ?,count
218,ENTY,Que arbustos de podem plantar que fiquem a salvo dos veados ?,plant
219,HUM,Que sede de uma organização foi assaltada no Watergate em 1972 ?,gr
220,DESC,Qual é o design do barco Titanic ?,desc
221,ABBR,O que significa S.O.S. ?,exp
222,ENTY,Diga o nome de uma famosa técnica usada para detectar malformações congénitas ?,techmeth
223,DESC,Qual é a dose diária necessária de ácido fólico para uma futura mãe ?,desc
224,DESC,O que é o “7-minute cigarette” ?,def
225,ENTY,Quais são as quatro estados em que se pode encontrar ouro ?,other
226,NUM,Qual é a extensão da vinha Chappellet ?,volsize
227,DESC,Como se pronuncia correctamente a palavras “gigong” ?,manner
228,NUM,Quando morreu Beethoven ?,date
229,NUM,Quanto custa um vagão de comboio a carvão novo ?,money
230,LOC,Quais foram os dois países europeus que entraram na guerra de Independência Americana contra os Britânicos ?,country
231,DESC,O que é a “filmmakers collaborative” ?,def
232,HUM,Que compositor Russo ganhou fama e fortuna com um Prelúdio em Dó sustenido menor ?,ind
233,DESC,O que causou a morte de Harry Houdini ?,reason
234,HUM,"Quem era a mãe do homem que não seria rei, o duque de Windsor ?",ind
235,NUM,Quantas rotações em três minutos faz um LP standard ?,count
236,LOC,Qual é o nome da montanha mais alta do mundo ?,mount
237,LOC,Onde posso encontrar uma crítica sobre o Pesadelo em Elm Street num jornal de cinema ?,other
238,ENTY,Qual é o tempo Olímpico de natação mais elevado ?,techmeth
239,HUM,Qual é o nome do primeiro astronauta Russo a andar no espaço ?,ind
240,ENTY,Que doença é transmitida pelo mosquito Anopheles ?,dismed
241,ENTY,Que rum é tão misturável que é a única marca que existe nos bares ?,food
242,NUM,Quantos países Sul Americanos têm a letra Z no seu nome ?,count
243,DESC,Qual é o conteúdo da proposta 98 ?,def
244,LOC,Onde nasceu George Washington ?,other
245,NUM,"Quantas pessoas morreram em terra vitimas da explosão que ocorreu a bordo do vôo Pan Am Flight 103. enquanto este sobrevoava Lockerbie, Escócia, dia 21. de Dezembro ?",count
246,HUM,Quem escreveu as Viagens de Gulliver ?,ind
247,DESC,O que é o paracetamol ?,def
248,DESC,Quais são os poderes e as limitações do anél Green Lantern ?,desc
249,ENTY,Que picadela de mosquito retira sangue ?,animal
250,NUM,Quando foi construída a primeira fábrica de aço nos Estados Unidos ?,date
251,HUM,Que diminuta ginasta americana teve todo o protagonismo nas Olimpíadas de 1984 ?,ind
252,DESC,Qual é a origem do nome Katie ?,desc
253,HUM,Que escolas em Washington têm os melhores alunos ?,gr
254,NUM,Quando foi construido o Muro de Berlim ?,date
255,HUM,Quem é Terrance Malick ?,desc
256,ENTY,Ray Charles é conhecido por tocar que instrumento ?,instru
257,DESC,"Qual é o significado do grito de batalha: Ad arma, ad arma ?",def
258,ENTY,Qual é a mascote da Universidade de Notre Dame ?,other
259,LOC,"Que hotel de Las Vegas ardeu em Novembro de 1980, levando à perda de 84. vidas ?",other
260,NUM,Quando é que o Monte St. Helen teve a última erupção significativa ?,date
261,ABBR,CNN é a abreviatura de quê ?,exp
262,NUM,Quando é que começou a primeira Guerra Mundial ?,date
263,NUM,Quantos pés tem um fantasma ?,count
264,DESC,O que é um “Canada two-penny black” ?,def
265,LOC,Em que cidade europeia viveu Nicois ?,city
266,DESC,Como posso descobrir em que ano o Beanie Baby foi introduzido ?,manner
267,DESC,Qual é a definição clássica do herói trágico ?,def
268,ENTY,A que é que o Window's 3. da Microsoft deve o seu sucesso ?,other
269,HUM,Quem era o presidente do Afeganistão em 1994 ?,ind
270,ENTY,"Para além da gravidez, perda e aumento de peso, que outras causas existem para as estrias ?",techmeth
271,ENTY,O que é que os brontossauros comiam ?,food
272,ENTY,De que cor são as garrafas de “good Rhine wines” ?,color
273,HUM,Quem era a actriz principal no filme “Sleepless in Seatle” ?,ind
274,HUM,Quem foi o 16º Presidente dos Estados Unidos ?,ind
275,HUM,Quem são os dois filhos de Ozzie e Harriet Nelson ?,ind
276,DESC,O que é molibdênio ?,def
277,NUM,Quando é o Boxing Day ?,date
278,ENTY,Qual é a instância mais baixa do sistema judicial americano ?,other
279,NUM,Quando foi travada a batalha de Somme ?,date
280,NUM,Quantas pessoas matou Randy Craft ?,count
281,ENTY,Qual é o animal oficial do Canadá ?,animal
282,NUM,Quando é que Spielberg realizou “O Tubarão” ?,date
283,NUM,Qual é o tamanho do maior akita ?,volsize
284,ENTY,Qual é o animal que tem os maiores olhos ?,animal
285,LOC,Qual é a capital da Califórnia ?,city
286,HUM,Quem é o autor do livro sobre hackers intitulado “The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage” ?,ind
287,HUM,Quem é o membro fundador da banda Pink Floyd ?,ind
288,LOC,Em que país europeu se situa a cidade produtora de cerveja Budweis ?,country
289,DESC,Como posso encontrar o saldo da minha conta da segurança social ?,manner
290,DESC,Qual é a história dos cartões de São Valentim ?,desc
291,LOC,Onde nasceu Cristóvão Colombo ?,other
292,ENTY,O que é que os Italianos chamam a Florença ?,termeq
293,DESC,Como se chega ao cimo da Torre Eiffel ?,manner
294,ABBR,O que significa PSI ?,exp
295,LOC,A que mar os Romanos chamavam mare nostrum ?,other
296,ENTY,Como se chama uma aposta antes das cartas terem sido dadas ?,termeq
297,ENTY,"Segundo o Genesis 1: 2: 22, o que apareceu primeiro: o ovo ou a galinha ?",animal
298,LOC,Em que cidade moravam os Flintstones ?,city
299,ENTY,Qual é o termo Latim para dizer incompetente ?,termeq
300,ENTY,Que químicos são utilizados na injecção letal ?,dismed
301,HUM,Que empresa de brinquedos é também a fabricante nº 1. mundial de vestuário feminino ?,gr
302,ENTY,Em que jogo de tabuleiro se faz “wood pusher” e “play poorly” ?,sport
303,HUM,Que personagem de Doonesbury era provável que se tornasse num lobisomem ?,ind
304,ABBR,Qual é a abreviatura de micro ?,abb
305,ENTY,Quais são os 7. artigos da constituição ?,other
306,HUM,Quem ganhou mais vezes a Super Bowl ?,gr
307,ABBR,O que significa NASDAQ ?,exp
308,ABBR,O que é BPH ?,exp
309,ENTY,Qual é o automóvel comercial mais rápido que se pode comprar nos E.U.A. ?,other
310,LOC,Em que estádio os Miami Dolphins jogam em casa ?,other
311,HUM,Qual é a única personagem que fala no “Silent Movie” ?,ind
312,DESC,Porque é que o cocó por vezes tem cores diferentes ?,reason
313,NUM,Qual era o QI de Einstein ?,other
314,NUM,Em que dia foi atacado Pearl Harbor em 1942 ?,date
315,HUM,Teddy é o diminutivo afectuoso de que nome ?,ind
316,LOC,Em que estado é que John F. Kennedy foi enterrado ?,state
317,ENTY,Qual é o melhor método para retirar papel de parede ?,techmeth
318,LOC,Que estado dos U.S.A. deu nome a um elemento químico ?,state
319,HUM,Que empresa organiza as votações para as eleições dos Prémios da Academia ?,gr
320,DESC,Como é que começou a tradição dos padrinhos de casamento ?,manner
321,NUM,Há quantos anos é que o navio Titanic afundou ?,count
322,LOC,Qual é a área mais profunda do Oceano Ártico ?,other
323,ENTY,Quais são as cores do Halloween ?,color
324,DESC,Como se tece a seda ?,manner
325,NUM,"Qual é a latitude e longitude de El Paso, Texas ?",other
326,HUM,Quem construiu um barco de madeira de cipreste ?,ind
327,LOC,Onde posso encontrar um screensaver do “Quinto elemento” ?,other
328,HUM,Que residente de Bloom County causa a destruição com um computador ?,ind
329,DESC,Como se faz a correspondência entre um nome e um número da segurança social ?,manner
330,DESC,Como se forma o arco-íris ?,manner
331,NUM,Qual é a frequência cardíaca normal em repouso para um adulto ?,other
332,NUM,Qual é a população de Ohio ?,other
333,NUM,Quantas calorias existem num Big Mac ?,count
334,DESC,O que significa Hazmat ?,def
335,ENTY,Que criatura assusta pessoas no filme “O Tubarão” ?,animal
336,HUM,Que papel desempenhou John Peter Zenger no desenvolvimento do jornal na América ?,ind
337,HUM,Que sucedeu a César ?,ind
338,ENTY,Quais são os quatro elementos ?,substance
339,HUM,Quem foi a primeira mulher golfista a ganhar um milhão ?,ind
340,ENTY,Qual é a peça mais alta do tabuleiro de xadrez ?,other
341,LOC,Qual é o endereço de Answers.com ?,other
342,LOC,Onde posso comprar online filmes em cassete de video ?,other
343,HUM,Quem faz a publicidade de Frito-Lay ?,ind
344,HUM,Quem é o principal concorrente da Trans Union Company ?,gr
345,ENTY,Que produto Robart Conrad desafiou as pessoas a derrubarem do seu ombro ?,product
346,HUM,Quem inventou a rádio ?,ind
347,NUM,A quantos dólares americanos equivalem 8. libras no Reino Unido ?,count
348,ENTY,Quais são as diferentes abordagens à análise de sistemas ?,techmeth
349,DESC,Como é que os médicos diagnosticam o cancro ósseo ?,manner
350,HUM,Quem é o homem que manipula a marionete e fala pela Miss Piggy ?,ind
351,NUM,Qual é a velocidade do Rio Mississippi ?,speed
352,ENTY,Quais são os estados de desenvolvimento de um nadador ?,other
353,HUM,Quem foi o primeiro actor a desempenhar James Bond ?,ind
354,LOC,Qual é o maior oceano do mundo ?,other
355,HUM,Quem foi o primeiro poeta americano a ganhar o Prémio Nobel da Literatura em 1948 ?,ind
356,NUM,Em que ano é que Jack Nicklaus se juntou ao tour da Associação de Golfistas Profissionais ?,date
357,NUM,Quantos sonetos escreveu Shakespeare ?,count
358,DESC,O que causa a vermelhidão nas bochechas quando uma pessoa cora ?,reason
359,HUM,Quem ganhou o Prémio Nobel da Paz em 1991 ?,ind
360,HUM,Quem são os Challengers of the Unknown ?,gr
361,DESC,Defina o Club Pheonix.,def
362,LOC,Que cidade é que os Cruzados Cristãos lutaram para reconquistar aos muçulmanos ?,city
363,DESC,O que significa “Rupee Depreciates” ?,def
364,ENTY,Que dispositivos de jogos foram apelidados “Mississippi marbles” e “Memphis dominoes” ?,other
365,HUM,Quem foi o primeiro treinador dos Cleveland Browns ?,ind
366,DESC,A aromaterapia tem sucesso ?,manner
367,ENTY,Que feriado judeu viu o início da Guerra do Médio Oriente de 1973 ?,event
368,DESC,Como funciona a fotocopiadora ?,manner
369,NUM,Qual é a velocidade do Rio Mississippi ?,speed
370,HUM,Quem disse sobre o Super Bowl III em 1969: “We 'll win- I guarantee it” ?,ind
371,ENTY,Qual é o nome do cavalo de Dudley Do-Right ?,animal
372,HUM,Quem declarou: “I am down on whores and I shan't stop ripping them” ?,ind
373,LOC,De onde vem o chocolate ?,other
374,ENTY,Em que concurso de televisão um concorrente admitiu roer as unhas dos pés no chuveiro ?,cremat
375,HUM,Que líder soviético teve um Rolls-Royce ?,ind
376,LOC,Onde posso encontrar um caso sobre a Lei de 1991. sobre a educação de indivíduos com dificuldades de aprendizagem ?,other
377,ENTY,Em que guerra é que Florence Nightingale cuidou das tropas ?,event
378,HUM,Quem escreveu a canção “Stardust” ?,ind
379,NUM,Quantos discos dos Beatles chegaram a número 1. das tabelas ?,count
380,HUM,"Quem foi o único primeiro ministro do Canadá ao serviço durante 22. anos, mas não consecutivos ?",ind
381,ABBR,Qual é a abreviatura do nome da empresa “General Motors” ?,abb
382,LOC,Que montanhas se encontram entre os rios Arkansas e Missouri ?,mount
383,HUM,Quem recebeu o prémio Will Rogers em 1989 ?,ind
384,DESC,Qual é a função da RAM ?,reason
385,LOC,Qual é a estrela do tipo espectral G2. mais próxima da Terra ?,other
386,NUM,Quantos ângulos iguais tem um triângulo isósceles ?,count
387,ENTY,Como se chama a fobia a baratas ?,dismed
388,ENTY,Que telenovela da CBS foi interrompida pela notícia do assassinato de John F. Kennedy ?,cremat
389,DESC,Qual é a utilidade de um relógio de 24. horas em relação a um de 12. horas ?,desc
390,HUM,Qual era o nome do advogado que representou Randy Craft ?,ind
391,HUM,Que presidente dos Estados Unidos sonhou que era assassinado ?,ind
392,ENTY,Com que filme Lee Marvin ganhou em 1965. o Óscar de melhor actor ?,cremat
393,LOC,Qual é a localização do país Basco ?,other
394,ENTY,Que produto promove “Mrs Olsen” ?,product
395,NUM,Em que altura do dia morreu o Imperador Hirohito ?,date
396,DESC,O que é gelo seco ?,def
397,ENTY,Qual é carta mais poderosa do jogo Euchre ?,other
398,DESC,O que significa “intractable plantar keratoma” ?,def
399,NUM,Quantos anos levou James Joyce a escrever Ulysses ?,count
400,ENTY,Que problema nas colheitas causou a grande fome Irlandesa ?,food
401,LOC,Que cidade da Coreia do Sul é servida pelo aeroporto Internacional de Kimpo ?,city
402,NUM,Quantos tipos de caudas de cães existem ?,count
403,ENTY,Qual a série televisiva que existe há mais tempo ?,cremat
404,ENTY,Que predadores existem na Antártida ?,animal
405,DESC,Qual é a diferença entre um gerador e um alternador ?,desc
406,DESC,Como é que se gera energia ?,manner
407,ENTY,Que cerveja publicitava que tinha “três aneis” ?,food
408,NUM,Quantos soldados americanos estão ainda desaparecidos da guerra do Vietnam ?,other
409,ENTY,Que acessório para o golf foi patenteado por George Grant dia 12. de Dezembro ?,techmeth
410,ENTY,Que diferentes tipos de plástico existem ?,other
411,DESC,Qual é maneira correcta de pronunciar “gigong” ?,manner
412,LOC,Qual era a montanha mais alta da terra antes do Evereste ter sido descoberto ?,mount
413,LOC,"Onde se situava a República Liguriana, 1797-1802 ?",other
414,LOC,De que país é a população que mais vê televisão ?,country
415,NUM,Quando foi ratificada a alteração ao sufrágio feminino ?,date
416,HUM,Que povo da Polinésia habita a Nova Zelândia ?,gr
417,ENTY,Em que fime sobre o império Romano se diz a frase: “Row well and live” ?,cremat
418,LOC,Que cidade do Nevada foi apelidade A pequena Maior Cidade do Mundo ?,city
419,HUM,"Que Presidente viveu em 219. Norte Delaware Street, Independence, Missouri ?",ind
420,DESC,Dê uma razão pela qual os Índios Americanos frequentemente abandonam a escola.,reason
421,LOC,Onde deve um guarda-redes estar posicionado de modo a poder tocar na bola ?,other
422,DESC,Qual é a diferença entre condicionamento clássico e condicionamento operante ?,desc
423,LOC,Em que estado dos E.U.A. foi eleita a primeira mulher governadora ?,state
