,class,question,sub_class
74,HUM,¿Quien estrellado en Canto en la Lluvia y la Monja Cantante?,ind
75,DESC,¿Como hago ladrillos de combustible del periodico reciclado?,manner
76,HUM,¿Que pintor del 19o siglo murio en las Islas Marquesas?,ind
77,ENTY,¿La recopilacion callosum esta en que la parte del cuerpo?,body
78,DESC,Como hacen me conecto a la pagina de inicio en la Oficina central U.S.¿Orden europea?,manner
79,LOC,"Que pais hizo a los Nazis ocupan para 1, CD NNS EN NNP NNP NNP",country
80,ENTY,¿Cual es Nebraska 's el recurso mas valioso?,other
81,NUM,¿Cuantas especies del Gran tiburon Blanco estan alli?,count
82,DESC,¿Cual es el origen de piojos principales?,desc
83,LOC,¿Cual es el apodo para el estado de Misisipi?,state
84,ENTY,¿Que el primer era la ave domesticada?,animal
85,NUM,¿Cuantos villi son encontrados en el intestino delgado?,count
86,LOC,¿Que pais goberno el Rey Wenceslas?,country
87,ENTY,¿Cual es un miedo de sombras?,dismed
88,HUM,¿Quienes eran los cinco hermanos Marx?,ind
89,NUM,¿En cual año fue excluida la Nueva Zelanda de la alianza ANZUS?,date
90,NUM,¿Cuando comenzo la CNN a transmitir?,date
91,DESC,¿Que hace que el cuerpo tiemble en temperaturas frias?,reason
92,DESC,¿Cual es oso y mercados alcistas?,def
93,ENTY,Que J.R.R.¿El libro de Tolkien presenta Bilbo Baggins como el caracter central?,cremat
94,DESC,¿Cual es el punto de rocio?,def
95,DESC,¿Cual es el sentido de Jes&250;s?,def
96,HUM,¿Que compañia 's logotipo es un W en un circulo?,gr
97,DESC,¿Cual es la definicion de una cascada?,def
98,NUM,¿Cuando prosperaron la pintura Rococo y la arquitectura?,date
99,LOC,¿Via que el pais 's sistema ferroviario de pasajeros nacional es llamado?,country
100,HUM,¿Quien invento el Maquillaje?,ind
101,DESC,¿Cual es el origen del desvan de palabra?,desc
102,DESC,¿Que hizo Delilah a Samson 's el pelo?,desc
103,ENTY,¿Que tipo de animales eran en la era Paleozoic?,animal
104,HUM,¿Cual de lo siguiente era el Erudito Rhodes?,ind
105,HUM,¿Quien comprendio el equipo de libro de comics ahora difunto conocido como los Campeones?,ind
106,DESC,¿Como hace usted un paintball?,manner
107,LOC,Que U.S.¿el estado es la Fortaleza Knox en?,state
108,ENTY,¿Que un conejo femenino se llama?,animal
109,LOC,¿Donde esta el punto mas alto en Japon?,mount
110,DESC,¿De donde vienen los chihuahuas?,desc
111,LOC,¿Donde va Barney Rubble para trabajar despues de que el deja a Fred en la serie de historieta Flintstones?,other
112,LOC,¿Cual es el mundo 's cuatro oceanos?,other
113,ENTY,¿Que 's el &250;nico trabajo de Michelangelo que aguanta su firma?,cremat
114,ENTY,¿Cual es la serpiente mas grande en el mundo?,animal
115,ENTY,¿En que medio se piensa que Stuart Hamblen es el primer vaquero de canto?,cremat
116,LOC,¿Donde en el Internet puedo encontrar una base de datos de poema lirico de cancion similar al Servidor de Poema lirico Internacional?,other
117,NUM,¿Cuanto dinero se pone pleito de herida trasero?,money
118,ENTY,¿Que 's el nombre com&250;n para acido acetylsalicylic?,termeq
119,DESC,¿Que significa la Hoya de Georgetown?,def
120,LOC,¿Donde puedo encontrar una lista de libros clasicos los 5os y 6os graduadores deberian leer?,other
121,ENTY,¿Que dos productos usan a un tigre como su simbolo?,product
122,DESC,¿Como es la eleccion de un nuevo Papa anunciado al mundo?,manner
123,NUM,¿Cuanto toma esto para su sangre para hacer un viaje completo por el cuerpo?,period
124,DESC,¿Como tienen los pollos pollitos de bebe?,manner
125,DESC,¿Cual es la relacion historica de Iglesia Catolica y bingo?,desc
126,DESC,¿Como fue llamado el calcio de elemento?,manner
127,HUM,¿Que vocalista melodico se afilio a Andrews Sisters para la Pistola Madre de Packin?,ind
128,HUM,¿Que compañia de piano afirma que su producto es el Instrumento del immortals?,gr
129,NUM,¿Cuando ocurrio el motin de Generosidad?,date
130,ENTY,¿Que novela inspiro la pelicula BladeRunner?,cremat
131,DESC,¿Cual es un transistor?,def
132,ENTY,¿Cual es una pelicula Jude Law protagonizada?,cremat
133,ENTY,¿Que perro de Hollywood murio en las armas de Jean Harlow en 1932?,animal
134,ENTY,¿Cuales son los elementos mas comunes en la Tierra 's corteza?,substance
135,NUM,"¿Cuanto costaria esto para comprar una tienda de campaña de partido de 2 cuadrados del pie, con lados?",money
136,HUM,¿Que actriz ha recibido la mayor parte de nombramientos de Oscar?,ind
137,DESC,¿Cuales son acciones?,def
138,DESC,¿Cual es gymnophobia?,def
139,NUM,¿Cuantos años toman los fosiles para formarse?,count
140,LOC,¿Donde esta el Orinoco?,other
141,ENTY,¿Cual era el nombre del Pequeño perro de Bribones?,animal
142,LOC,"¿Que ciudad alardea de Penn 's Aterrizaje, en los bancos del rio Delaware?",city
143,ENTY,¿Que Broadway musical fue inspirado por Cervantes 's Don Quijote?,cremat
144,DESC,"Lo que es el origen de la palabra, JJ",desc
145,NUM,¿Cuantos rehenes fueron matados en la incursion de Entebbe?,count
146,DESC,¿Como usted puede levantar su CI?,manner
147,ABBR,¿Que hace INRI significan cuando usado en Jes&250;s 'cruz?,exp
148,HUM,¿Quien produce Spumante?,gr
149,HUM,¿Quien gana su dinero camino dificil?,ind
150,HUM,¿Quien fundo a la Gente 's Comuna de Templo?,ind
151,HUM,¿Que atleta aprovecha al maximo el dinero de ventas de mercancia de deportes?,ind
152,NUM,¿Cuantas curvas estan alli en un broche de papel estandar?,count
153,HUM,¿Quien descubrio la electricidad?,ind
154,ENTY,¿Que parte de su cuerpo contiene la recopilacion callosum?,body
155,HUM,¿Quien era el primer americano en el espacio?,ind
156,LOC,¿Que dos paises sudamericanos hacen la frontera de n't Brasil?,country
157,ENTY,¿Que album puso los Beatles sobre la tapa de Tiempo en 1967?,cremat
158,ENTY,"Que poema contiene la linea, envejecer conmigo el mejor debe ser a&250;n",cremat
159,DESC,¿Cual es un canal de raiz dental?,def
160,ENTY,¿Que guerra hizo Querer - Se van a casa los Disturbios ocurren despues?,event
161,NUM,¿Que los viajes de aire mas ocupados son de temporada?,date
162,ENTY,¿Que 's la parte coloreada del ojo llamo?,body
163,DESC,¿Cuales son gusanos de gancho?,def
164,LOC,¿Donde esta el Se elevo el Plato hondo jugado?,other
165,HUM,¿Que fabricante de coches japones tenia su porcentaje mas grande de la ventalas rebajas en el mercado domestico?,gr
166,HUM,¿Quien es el alcalde de Marbella?,ind
167,LOC,"¿Que el valle maldito por el sol, de 14 millas de ancho es solo al norte del desierto de Mojave?",other
168,NUM,¿En que el año hizo Thatcher hecho primer ministro?,date
169,NUM,¿Cuantos meses toma esto la luna para girar alrededor de la Tierra?,count
170,LOC,¿Donde estan los 49 pasos?,other
171,NUM,¿En que año fue decidido De Gaulle al presidente de Francia?,date
172,HUM,¿Quien canta los temas para Dawson 's Cala y Felicidad?,ind
173,HUM,¿Quien dirigio Mandibulas?,ind
174,ENTY,En que T.V.¿podria el espectaculo Tom Terrific ser encontrado?,cremat
175,HUM,¿Que tribu india es la Tropa F que permanentemente libra batalla?,gr
176,DESC,¿De donde vino el Budin indio?,desc
177,DESC,¿Por que hacen algunas etiquetas de ropa dicen el Uso una lejia de no cloro?,reason
178,NUM,¿Cuantas colonias estuvieron implicadas en la Revolucion americana?,count
179,LOC,¿Cual es el nombre de la ciudad aquellas vidas de Maurizio Pellegrin en?,city
180,LOC,¿Donde puedo encontrar direcciones ilustradas en como construir treehouse muy simple?,other
181,ENTY,"¿Que el juego 's bordo muestra los territorios de Irkutsk, Yakutsk y Kamchatka?",sport
182,HUM,¿Cual es el nombre del director general del Ordenador de Albaricoque?,ind
183,HUM,¿Cual es la ocupacion de Nicholas Cage?,title
184,DESC,¿Por que traen las herraduras la suerte?,reason
185,DESC,"¿Cuales son los 401, K, plan?",def
186,DESC,¿Que pulmonia de causas?,reason
187,NUM,¿Cuales son los tres meses de invierno en el hemisferio del sur?,date
188,DESC,¿Que quiere decir el gringo?,def
189,LOC,¿Que pais contiene &193;frica 's el punto mas norte?,country
190,ENTY,¿Que terapia intenta sacar el grito primal?,dismed
191,LOC,¿Donde esta el desierto de Kalahari?,other
192,HUM,¿Que departamento de policia de Ventura County agarro el envio de cocaina mas grande en ello 's historia?,gr
193,LOC,¿Que ciudad es a veces llamada Gotham?,city
194,ENTY,¿Que pende sobre la lengua del paladar?,body
195,HUM,¿Quien creo a Dennis la Amenaza?,ind
196,HUM,¿Que maniqui recibio un doctorado honoris causa de la Universidad Noroeste?,ind
197,NUM,¿Cuando fue publicado el primer Diario de Wall Street?,date
198,LOC,¿Que paises tienen las areas mas grandes del bosque?,country
199,DESC,¿Como comienzo un negocio basado de web?,manner
200,HUM,Llame a Alvin 's hermanos,ind
201,DESC,¿Cual es el &193;guila 's sindrome styloid proceso?,def
202,DESC,¿Como murio Jayne Mansfield?,manner
203,NUM,¿Cuando hizo la boda real del Principe Andrew y Fergie ocurren?,date
204,HUM,Lo que el actor dijo en un Dia en las Razas: ¿el 's muerto o mi reloj se han parado?,ind
205,HUM,¿Que explorador era Iberia apodado 's Piloto?,ind
206,NUM,¿La CNN comenzo a transmitir en que año?,date
207,ENTY,¿Cual es una pelota que golpea el poste asqueroso llamado?,termeq
208,DESC,¿Que hace el gusto de hamburguesas como steakburgers?,reason
209,HUM,¿Que compañia creo el Mosaico de Navegador?,gr
210,ENTY,¿Que acompañan los ritos la circuncision de un recien aguantar-niño en el Judaismo llamado?,event
211,ENTY,¿Cual era el sistema de educacion en el 1960 's?,other
212,LOC,¿Que ciudad sudamericana tiene el mundo 's el campo de aterrizaje comercial mas alto?,city
213,DESC,¿Como puedo averiguar que ciudades tienen el acceso de modem del cable?,manner
214,DESC,¿De que Betsy Ross es famosa?,reason
215,NUM,¿Cuantas especies de tiburones estan alli?,count
216,DESC,¿Cual es snoogans?,def
217,NUM,¿Cuanta gente esta alli en el mundo?,count
218,ENTY,¿Que arbustos pueden ser plantados lo que sera seguro de ciervos?,plant
219,HUM,¿En que organizacion 's oficinas estuvieron rotos en Watergate en 1972?,gr
220,DESC,¿Cual es el diseño del barco Titanic?,desc
221,ABBR,Lo que hace S.O.S.¿aguante?,exp
222,ENTY,¿Llame una tecnica extensamente solia descubrir defectos de nacimiento?,techmeth
223,DESC,¿Cual es la exigencia diaria de acido folic para una madre futura?,desc
224,DESC,¿Cual es el cigarrillo de 7 minutos?,def
225,ENTY,¿En que cuatro formas ocurre el oro?,other
226,NUM,¿Cual es el area cultivada de la viña Chappellet?,volsize
227,DESC,¿Como dice correctamente usted la palabra 'qigong'?,manner
228,NUM,¿Cuando hizo beethoven mueren?,date
229,NUM,¿Cuanto hace un nuevo coche de carbon de ferrocarril costaba?,money
230,LOC,¿Que dos paises europeos entraron en la Guerra de la Independencia americana contra los britanicos?,country
231,DESC,¿Cuales son los cineastas collabrative?,def
232,HUM,¿Que compositor ruso 's Preludio en el Menor Agudo C le trajo la fama y la fortuna?,ind
233,DESC,¿Que causo a Harry Houdini 's muerte?,reason
234,HUM,"¿Quien era la madre del hombre que no seria el rey, el duque de Windsor?",ind
235,NUM,¿Cuantas revoluciones hace un LP estandar en tres minutos?,count
236,LOC,¿Cual es el nombre de la montaña mas alta en el mundo?,mount
237,LOC,¿Donde puedo encontrar una revision de Pesadilla en la Calle de Olmo en un diario de pelicula?,other
238,ENTY,¿Que 's el golpe nadador Olimpico mas lento?,techmeth
239,HUM,¿Cual era el nombre del primer astronauta ruso para hacer un paseo espacial?,ind
240,ENTY,¿Que enfermedad es transmitida por el mosquito Anopheles?,dismed
241,ENTY,HTTP Status 500: Internal Server Error,food
242,NUM,¿Cuantos paises sudamericanos tienen la carta Z de sus nombres?,count
243,DESC,¿Cuales son los contenido de proposicion 98?,def
244,LOC,¿Donde fue nacido George Washington?,other
245,NUM,"Cuanta gente en la tierrarazon fue matada del bombardeo del Vuelo 103 de Pan Am sobre Lockerbie, Escocia, el 21 de diciembre, CD",count
246,HUM,¿Quien escribio NN DT NNP NNP?,ind
247,DESC,¿Cual es paracetamol?,def
248,DESC,¿Cuales son los poderes y las debilidades de la Linterna Verde 's anillo?,desc
249,ENTY,"Que mosquito 's muerden sangre de empates, DT NN CENT&205;METROS C&218;BICOS DT NN",animal
250,NUM,¿Cuando era la primera aceria en los Estados Unidos construidos?,date
251,HUM,¿Que gimnasta femenino americano diminuto se llevo la palma en las Olimpiadas 1984?,ind
252,DESC,¿Cual es el origen del nombre Katie?,desc
253,HUM,"Que escuelas en el Washington, DC NN NN VBP NN NN NN NN",gr
254,NUM,¿Cuando subio el Muro de Berlin?,date
255,HUM,¿Quien es Terrence Malick?,desc
256,ENTY,¿Que instrumento es mejor conocido Ray Charles para jugar?,instru
257,DESC,"Que 's el sentido del grito de guerra latino: Anuncio arma, anuncio arma",def
258,ENTY,¿Cual es la mascota para la Universidad de Dama Notre?,other
259,LOC,"¿Que Las Vegas hotel quemo en el noviembre de 1980, con la perdida de 84 vidas?",other
260,NUM,Cuando Monto realmente San.¿Helen &250;ltima tiene una erupcion significativa?,date
261,ABBR,¿La CNN es la abreviatura para que?,exp
262,NUM,¿Cuando comenzo la Primera guerra mundial?,date
263,NUM,¿Cuantos pies estan alli en una braza?,count
264,DESC,¿Que un Canada es de dos peniques negro?,def
265,LOC,¿En que ciudad europea hacen Nicois vivo?,city
266,DESC,¿Como puedo averiguar que año un Bebe Beanie fue presentado?,manner
267,DESC,¿Cual es la definicion clasica del heroe tragico?,def
268,ENTY,¿A lo que hace Microsoft 's Windows 3 deben su exito?,other
269,HUM,¿Quien era el presidente de Afganistan en 1994?,ind
270,ENTY,"¿Cuales son otros modos de conseguir estrias ademas de embarazo, perdida de peso, y peso que levanta?",techmeth
271,ENTY,¿Que comieron los brontosaurios?,food
272,ENTY,¿En que botellas en color entran los vinos de Rin buenos?,color
273,HUM,¿Quien era la primera actriz en la pelicula `Insomne en Seattle'?,ind
274,HUM,¿Quien era el 16o presidente de los Estados Unidos?,ind
275,HUM,¿Quienes son los dos hijos de Ozzie y Harriet Nelson?,ind
276,DESC,¿Cual es el molibdeno?,def
277,NUM,¿Cuando es el Dia de San Esteban?,date
278,ENTY,¿Cual es el nivel mas bajo de la judicatura americana?,other
279,NUM,¿Cuando era la batalla del Somme luchado?,date
280,NUM,¿A cuanta gente mato Randy Craft?,count
281,ENTY,¿Que 's el animal oficial de Canada?,animal
282,NUM,¿Cuando hizo las Mandibulas directas de Spielberg?,date
283,NUM,¿Cual es el tamaño de akita mas grande?,volsize
284,ENTY,¿Que animal tiene los ojos mas grandes?,animal
285,LOC,¿Cual es California 's capital?,city
286,HUM,Quien era el autor del libro sobre hackeres de ordenador llamados el Cuco 's Huevo: ¿Rastreo de un Espia Por el Laberinto de Espionaje de Ordenador?,ind
287,HUM,¿Quien era el miembro fundador de la cinta de Floyd Rosada?,ind
288,LOC,¿Que pais europeo es de casa a la ciudad que produce cerveza de Budweis?,country
289,DESC,¿Como encuentro el equilibrio de mi cuenta de seguridad social?,manner
290,DESC,¿Cual es la historia de Valentino 's naipes de Dia?,desc
291,LOC,¿Donde fue nacido Christopher Columbus?,other
292,ENTY,¿Que llaman los italianos Florencia?,termeq
293,DESC,¿Como se pone usted a la cumbre de la Torre Eiffel?,manner
294,ABBR,¿Que hace 'PSI' significan?,exp
295,LOC,¿Que mar llamaron los romanos el remedio secreto de yegua?,other
296,ENTY,¿Que 's el termino para una apuesta antes de que los naipes sean tratados?,termeq
297,ENTY,"Que vino primero, seg&250;n la Genesis 1: 2: ¿22 - el pollo o el huevo?",animal
298,LOC,¿En que ciudad vivio Flintstones?,city
299,ENTY,¿Que es latino para incompetente?,termeq
300,ENTY,¿Que productos quimicos son usados en la inyeccion letal?,dismed
301,HUM,Que compañia de juguete es el mundo 's no.¿1 fabricante de indumentaria femenina?,gr
302,ENTY,¿Que juego de mesa juega un empujador de madera mal?,sport
303,HUM,¿Que caracter Doonesbury probablemente se convertiria en un hombre lobo?,ind
304,ABBR,¿Cual es la abreviatura para micro?,abb
305,ENTY,¿Cuales son los 7 articulos de la constitucion?,other
306,HUM,¿Quien ha ganado los Platos hondos mas S&250;per?,gr
307,ABBR,¿Que aguanta la NASDAQ?,exp
308,ABBR,¿Cual es BPH?,exp
309,ENTY,¿Cual es el coche comercial mas rapido que puede ser comprado en los EE.UU?,other
310,LOC,¿En que estadio juegan los Delfines de Miami a sus juegos de casa?,other
311,HUM,¿Quien tiene el &250;nico papel de hablar en la Pelicula Silenciosa?,ind
312,DESC,¿Por que es la popa colores a veces diferentes?,reason
313,NUM,¿Cual era Einstein 's CI?,other
314,NUM,¿Que dia fue atacado el Puerto de Perla en 1942?,date
315,HUM,¿De que muchacha 's nombre el Canes&250; es una forma afectuosa?,ind
316,LOC,Que estado es John F.¿Kennedy sepulto en?,state
317,ENTY,¿Que es el mejor camino quitar el empapelado?,techmeth
318,LOC,Que U.S.¿ha llamado el estado un elemento para ello?,state
319,HUM,¿Que compañia tabula las votaciones en la votacion para los Premios de Academia?,gr
320,DESC,¿Como hizo la tradicion del mejor principio de hombre?,manner
321,NUM,¿Cuantos hace años hicieron el barco fregadero Titanico?,count
322,LOC,¿Cual es el area mas profunda del Oceano Artico?,other
323,ENTY,¿Cual es la Vispera de todos los Santos 's colores?,color
324,DESC,¿Como protege la seda hecho?,manner
325,NUM,"¿Cual es la latitud y la longitud de Paso el-, Texas?",other
326,HUM,¿Quien hizo un barco de la madera de tuza?,ind
327,LOC,¿Donde puedo encontrar un Quinto Elemento screensaver?,other
328,HUM,¿Cuales Florecen el residente de Condado causa estragos con un ordenador?,ind
329,DESC,¿Como empareja usted un nombre a un n&250;mero de seguridad social?,manner
330,DESC,¿Como se forma un arco iris?,manner
331,NUM,¿Que descansa el normal el precio de corazon de un adulto sano?,other
332,NUM,¿Cual es la poblacion de Ohio?,other
333,NUM,¿Cuantas calorias estan alli en Mac Grande?,count
334,DESC,¿El Hazmat significa que?,def
335,ENTY,¿Que criatura asusta a la gente en la pelicula Mandibulas?,animal
336,HUM,¿Que parte jugo John Peter Zenger en el deveopment del periodico en America?,ind
337,HUM,¿Quien siguio a Caesar?,ind
338,ENTY,¿Cuales son los cuatro elementos?,substance
339,HUM,¿A quien debia el primer golfista de mujer ganar un millon?,ind
340,ENTY,¿Que 's el pedazo mas alto en un tablero de ajedrez?,other
341,LOC,Lo que es Respuestas.¿com 's direccion?,other
342,LOC,¿Donde puedo comprar peliculas en la videocinta en linea?,other
343,HUM,¿Quien hace la publicidad para Frito-estan?,ind
344,HUM,¿Quien es el competidor principal de la Compañia de Union de Transaccion?,gr
345,ENTY,¿Que producto se atrevio Robert Conrad la gente a hacer caer su hombro?,product
346,HUM,¿Quien invento la radio?,ind
347,NUM,Que 's el equivalente de dolar americano para 8 libras en el U.K.?,count
348,ENTY,¿Cuales son los acercamientos diferentes del analisis de sistemas?,techmeth
349,DESC,¿Como diagnostican los doctores el cancer de hueso?,manner
350,HUM,¿Quien es el hombre detras del cerdo - el hombre que toca las teclas y habla para señorita Piggy?,ind
351,NUM,¿Cual es la velocidad del Rio de Misisipi?,speed
352,ENTY,¿Cuales son las etapas del desarrollo de un nadador?,other
353,HUM,¿Que actor primero retrato a James Bond?,ind
354,LOC,¿Que oceano es el mas grande en el mundo?,other
355,HUM,"¿A quien debia el primer poeta americano ganar el Premio Nobel para la literatura, en 1948?",ind
356,NUM,¿Que año se afilio Jack Nicklaus al viaje de Asociacion de Golfistas Profesional?,date
357,NUM,¿Cuantos sonetos hicieron Shakespeare escriben?,count
358,DESC,¿Que causa la reparacion en sus mejillas cuando usted se sonroja?,reason
359,HUM,¿Quien gano el Premio Nobel de Paz en 1991?,ind
360,HUM,¿Quienes son los Aspirantes del Desconocido?,gr
361,DESC,¿Defina el Club Pheonix?,def
362,LOC,¿Contra que ciudad lucho Christian Crusaders para recobrar de los Musulmanes?,city
363,DESC,¿Que significa esto que la Rupia Se deprecia?,def
364,ENTY,¿Que dispositivos de juego eran marmoles de Misisipi doblados y fichas de domino Memphis?,other
365,HUM,¿Quien era el primer entrenador del Cleveland Browns?,ind
366,DESC,¿Que acertado es arometherapy?,manner
367,ENTY,¿Que vacaciones judias vieron el principio de la Guerra de Oriente Medio 1973?,event
368,DESC,¿Como trabaja una copiadora?,manner
369,NUM,¿Cual es la velocidad del Rio de Misisipi?,speed
370,HUM,Quien dijo del Plato hondo S&250;per III en 1969: ¿Nosotros 'll triunfo - lo garantizo?,ind
371,ENTY,¿Cual es Dudley Hacen - Derecho 's caballo 's nombre?,animal
372,HUM,Quien declaro: ¿estoy abajo en putas y yo shan 't dejan de rasgarlos?,ind
373,LOC,¿De donde viene el chocolate?,other
374,ENTY,¿Que programa concurso de TV una vez vio a un concursante confesarse culpable de escoger sus dedos del pie en la ducha?,cremat
375,HUM,¿Que lider sovietico poseyo unos Rollos-Royce?,ind
376,LOC,¿Donde puedo encontrar un caso en Individuos con el Acto de Educacion de Invalidez de 1991?,other
377,ENTY,¿En que guerra tendio el Ruiseñor de Florencia las tropas?,event
378,HUM,"¿Quien escribio la cancion, Stardust?",ind
379,NUM,¿Cuantos los Beatles 'archivos fueron 1?,count
380,HUM,"¿Quien es el &250;nico primer ministro de Canada para servir 22 años, pero no necesariamente consecutivamente?",ind
381,ABBR,¿Cual es la abreviatura del nombre de la compañia 'General Motors'?,abb
382,LOC,¿Que montañas estan entre los rios de Misuri y Arkansas?,mount
383,HUM,¿Quien recibio el Premio de Will Rogers en 1989?,ind
384,DESC,¿Cual es la funcion de RAM?,reason
385,LOC,¿Que 's el Espectro G2 mas cercano Enano Amarillo a Tierra?,other
386,NUM,¿Cuantos angulos iguales estan alli en un triangulo isosceles?,count
387,ENTY,¿Que es llamado el miedo de cucarachas?,dismed
388,ENTY,Que telenovela de CBS fue interrumpida por el boletin de John F.¿Kennedy 's asesinato?,cremat
389,DESC,¿Cual es el uso de un reloj de 24 horas en vez de un reloj de 12 horas?,desc
390,HUM,¿Cual era el nombre del abogado que represento a Randy Craft?,ind
391,HUM,¿Que presidente de los Estados Unidos habia soñado que el fuera matado?,ind
392,ENTY,¿Para que pelicula gano Lee Marvin al mejor actor 1965 Oscar?,cremat
393,LOC,¿Donde esta localizado el pais vasco?,other
394,ENTY,Que producto hace a Sra.¿Olsen promueve?,product
395,NUM,¿A que hora del dia murio el Emperador Hirohito?,date
396,DESC,¿Cual es el hielo seco?,def
397,ENTY,¿Que 's la tarjeta mas poderosa en Euchre?,other
398,DESC,¿Que hace plantar insuperable keratoma medio?,def
399,NUM,¿Cuantos años tomo esto a James Joyce para escribir a Ulysses?,count
400,ENTY,¿Que fracaso de cosecha causo el Hambre irlandesa?,food
401,LOC,¿Que ciudad Surcoreana es servida por el Aeropuerto Internacional Kimpo?,city
402,NUM,Cuantos tipos de perros 'colas estan alli - tres,count
403,ENTY,¿Cual es la serie de television mas largo que corre?,cremat
404,ENTY,¿Que depredadores existen en Antartida?,animal
