,class,question,sub_class
133,ENTY,What Hollywood dog died in the arms of Jean Harlow in 1932 ?,animal
134,ENTY,What are the most common elements in the Earth 's crust ?,substance
135,NUM,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",money
136,HUM,What actress has received the most Oscar nominations ?,ind
137,DESC,What are equity securities ?,def
138,DESC,What is gymnophobia ?,def
139,NUM,How many years do fossils take to form ?,count
140,LOC,Where is the Orinoco ?,other
141,ENTY,What was the name of the `` Little Rascals '' dog ?,animal
142,LOC,"What city boasts Penn 's Landing , on the banks of the Delaware river ?",city
143,ENTY,What Broadway musical was inspired by Cervantes 's Don Quixote ?,cremat
144,DESC,"What is the origin of the word , JJ .",desc
145,NUM,How many hostages were killed in the Entebbe raid ?,count
146,DESC,How you can raise your IQ ?,manner
147,ABBR,What does INRI stand for when used on Jesus ' cross ?,exp
148,HUM,Who produces Spumante ?,gr
149,HUM,Who earns their money the hard way ?,ind
150,HUM,Who founded the People 's Temple Commune ?,ind
151,HUM,What athlete makes the most money from sports merchandise sales ?,ind
152,NUM,How many bends are there in a standard paper clip ?,count
153,HUM,Who discovered electricity ?,ind
154,ENTY,What part of your body contains the corpus callosum ?,body
155,HUM,Who was the first American in space ?,ind
156,LOC,What two South American countries do n't border Brazil ?,country
157,ENTY,What album put The Beatles on the cover of Time in 1967 ?,cremat
158,ENTY,"What poem contains the line , `` grow old with me the best is yet to be '' .",cremat
159,DESC,What is a dental root canal ?,def
160,ENTY,What war did the Wanna-Go-Home Riots occur after ?,event
161,NUM,What is the busiest air travel season ?,date
162,ENTY,What 's the colored part of the eye called ?,body
163,DESC,What are hook worms ?,def
164,LOC,Where is the Rose Bowl played ?,other
165,HUM,Which Japanese car maker had its biggest percentage of sale in the domestic market ?,gr
166,HUM,Who is the mayor of Marbella ?,ind
167,LOC,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",other
168,NUM,In what year did Thatcher become prime minister ?,date
169,NUM,How many months does it take the moon to revolve around the Earth ?,count
170,LOC,Where are the 49 steps ?,other
171,NUM,In what year was De Gaulle elected president of France ?,date
172,HUM,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,ind
173,HUM,Who directed `` Jaws '' ?,ind
174,ENTY,On what T.V. show could Tom Terrific be found ?,cremat
175,HUM,What Indian tribe is F Troop perpetually doing battle with ?,gr
176,DESC,Where did Indian Pudding come from ?,desc
177,DESC,Why do some clothing labels say `` Use a nonchlorine bleach '' ?,reason
178,NUM,How many colonies were involved in the American Revolution ?,count
179,LOC,What is the name of the city that Maurizio Pellegrin lives in ?,city
180,LOC,Where can I find pictorial directions on how to build a very simple treehouse ?,other
181,ENTY,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",sport
182,HUM,What is the name of the managing director of Apricot Computer ?,ind
183,HUM,What is the occupation of Nicholas Cage ?,title
184,DESC,Why do horseshoes bring luck ?,reason
185,DESC,"What is the 401 , K , plan ?",def
186,DESC,What causes pneumonia ?,reason
187,NUM,What are the three winter months in the southern hemisphere ?,date
188,DESC,What does gringo mean ?,def
189,LOC,What country contains Africa 's northernmost point ?,country
190,ENTY,What therapy attempts to elicit the `` primal scream '' ?,dismed
191,LOC,Where is the Kalahari desert ?,other
192,HUM,Which Ventura County police department seized the largest cocaine shipment in it 's history ?,gr
193,LOC,What city is sometimes called Gotham ?,city
194,ENTY,What dangles over the tongue from the palate ?,body
195,HUM,Who created Dennis the Menace ?,ind
196,HUM,What dummy received an honorary degree from Northwestern University ?,ind
197,NUM,When was the first Wall Street Journal published ?,date
198,LOC,What countries have the largest areas of forest ?,country
199,DESC,How do I start a web based business ?,manner
200,HUM,Name Alvin 's brothers,ind
201,DESC,What is Eagle 's syndrome styloid process ?,def
202,DESC,How did Jayne Mansfield die ?,manner
203,NUM,When did the royal wedding of Prince Andrew and Fergie take place ?,date
204,HUM,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,ind
205,HUM,What explorer was nicknamed Iberia 's Pilot ?,ind
206,NUM,CNN began broadcasting in what year ?,date
207,ENTY,What is a ball that hits the foul pole called ?,termeq
208,DESC,What makes hamburgers taste like steakburgers ?,reason
209,HUM,Which company created the Internet browser Mosaic ?,gr
210,ENTY,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,event
211,ENTY,What was the education system in the 1960 's ?,other
212,LOC,What South American city has the world 's highest commercial landing field ?,city
213,DESC,How can I find out which cities have cable-modem access ?,manner
214,DESC,What is Betsy Ross famous for ?,reason
215,NUM,How many species of sharks are there ?,count
216,DESC,What is `` snoogans '' ?,def
217,NUM,How many people are there in the world ?,count
218,ENTY,What shrubs can be planted that will be safe from deer ?,plant
219,HUM,What organization 's offices were broken into at Watergate in 1972 ?,gr
220,DESC,What is the design of the ship Titanic ?,desc
221,ABBR,What does S.O.S. stand for ?,exp
222,ENTY,Name a technique widely used to detect birth defects ?,techmeth
223,DESC,What is the daily requirement of folic acid for an expectant mother ?,desc
224,DESC,What is the `` 7-minute cigarette '' ?,def
225,ENTY,What four forms does gold occur in ?,other
226,NUM,What is the acreage of the Chappellet vineyard ?,volsize
227,DESC,How do you correctly say the word ` qigong ' ?,manner
228,NUM,When did beethoven die ?,date
229,NUM,How much does a new railroad coal car cost ?,money
230,LOC,What two European countries entered the War of American Independence against the British ?,country
231,DESC,What is the filmmakers collabrative ?,def
232,HUM,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,ind
233,DESC,What caused Harry Houdini 's death ?,reason
234,HUM,"Who was the mother of the man who would not be king , the duke of Windsor ?",ind
235,NUM,How many revolutions does a standard LP make in three minutes ?,count
236,LOC,What is the name of the tallest mountain in the world ?,mount
237,LOC,Where can I find a review of Nightmare on Elm Street in a film journal ?,other
238,ENTY,What 's the slowest Olympic swimming stroke ?,techmeth
239,HUM,What was the name of the first Russian astronaut to do a spacewalk ?,ind
240,ENTY,What disease is transmitted by the Anopheles mosquito ?,dismed
241,ENTY,What rum is so `` mixable '' it is a one-brand bar ?,food
242,NUM,How many South American countries have the letter Z in their names ?,count
243,DESC,What is the contents of proposition 98 ?,def
244,LOC,Where was George Washington born ?,other
245,NUM,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",count
246,HUM,Who wrote NN DT NNP NNP '' ?,ind
247,DESC,What is paracetamol ?,def
248,DESC,What are the powers and weaknesses of Green Lantern 's ring ?,desc
249,ENTY,"Which mosquito 's bite draws blood , DT NN CC DT NN .",animal
250,NUM,When was the first steel mill in the United States built ?,date
251,HUM,What diminutive American female gymnast stole the show at the 1984 Olympics ?,ind
252,DESC,What is the origin of the name Katie ?,desc
253,HUM,"What schools in the Washington , DC NN NN VBP NN NN NN NN .",gr
254,NUM,When did the Berlin Wall go up ?,date
255,HUM,Who is Terrence Malick ?,desc
256,ENTY,What instrument is Ray Charles best known for playing ?,instru
257,DESC,"What 's the meaning of the Latin battle cry : Ad arma , ad arma .",def
258,ENTY,What is the mascot for Notre Dame University ?,other
259,LOC,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?",other
260,NUM,When did Mount St. Helen last have a significant eruption ?,date
261,ABBR,CNN is the abbreviation for what ?,exp
262,NUM,When did World War I start ?,date
263,NUM,How many feet are there in a fathom ?,count
264,DESC,What is a Canada two-penny black ?,def
265,LOC,What European city do Nicois live in ?,city
266,DESC,How can I find out what year a Beanie Baby was introduced ?,manner
267,DESC,What is the classic definition of tragic hero ?,def
268,ENTY,To what does Microsoft 's Windows 3 owe its success ?,other
269,HUM,Who was President of Afghanistan in 1994 ?,ind
270,ENTY,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",techmeth
271,ENTY,What did brontosauruses eat ?,food
272,ENTY,What color bottles do good Rhine wines come in ?,color
273,HUM,Who was the lead actress in the movie ` Sleepless in Seattle ' ?,ind
274,HUM,Who was the 16th President of the United States ?,ind
275,HUM,Who are the two sons of Ozzie and Harriet Nelson ?,ind
276,DESC,What is molybdenum ?,def
277,NUM,When is Boxing Day ?,date
278,ENTY,What is the lowest level of the American judiciary ?,other
279,NUM,When was the battle of the Somme fought ?,date
280,NUM,How many people did Randy Craft kill ?,count
281,ENTY,What 's the official animal of Canada ?,animal
282,NUM,When did Spielberg direct `` Jaws '' ?,date
283,NUM,What is the size of the largest akita ?,volsize
284,ENTY,What animal has the biggest eyes ?,animal
285,LOC,What is California 's capital ?,city
286,HUM,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,ind
287,HUM,Who was the founding member of the Pink Floyd band ?,ind
288,LOC,What European country is home to the beer-producing city of Budweis ?,country
289,DESC,How do I find the balance of my social security account ?,manner
290,DESC,What is the history of Valentine 's Day cards ?,desc
291,LOC,Where was Christopher Columbus born ?,other
292,ENTY,What do Italians call Florence ?,termeq
293,DESC,How do you get to the top of the Eiffel Tower ?,manner
294,ABBR,What does ` PSI ' stand for ?,exp
295,LOC,What sea did the Romans call mare nostrum ?,other
296,ENTY,What 's the term for a bet before cards are dealt ?,termeq
297,ENTY,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",animal
298,LOC,What city did the Flintstones live in ?,city
299,ENTY,What is Latin for incompetent ?,termeq
300,ENTY,What chemicals are used in lethal injection ?,dismed
301,HUM,What toy company is the world 's No.1 maker of female apparel ?,gr
302,ENTY,What board game does a `` wood-pusher '' play poorly ?,sport
303,HUM,Which Doonesbury character was likely to turn into a werewolf ?,ind
304,ABBR,What is the abbreviation for micro ?,abb
305,ENTY,What are the 7 articles of the constitution ?,other
306,HUM,Who has won the most Super Bowls ?,gr
307,ABBR,What does NASDAQ stand for ?,exp
308,ABBR,What is BPH ?,exp
309,ENTY,What is the fastest commercial automobile that can be bought in the US ?,other
310,LOC,What stadium do the Miami Dolphins play their home games in ?,other
311,HUM,Who has the only speaking role in `` Silent Movie '' ?,ind
312,DESC,Why is poop sometimes different colors ?,reason
313,NUM,What was Einstein 's IQ ?,other
314,NUM,What day was Pearl Harbor attacked in 1942 ?,date
315,HUM,What girl 's name is `` Teddy '' an affectionate form of ?,ind
316,LOC,What state is John F. Kennedy buried in ?,state
317,ENTY,What is the best way to remove wallpaper ?,techmeth
318,LOC,What U.S. state has an element named for it ?,state
319,HUM,What company tabulates the ballots in voting for the Academy Awards ?,gr
320,DESC,How did the tradition of best man start ?,manner
321,NUM,How many years ago did the ship Titanic sink ?,count
322,LOC,What is the deepest area of the Arctic Ocean ?,other
323,ENTY,What are Halloween 's colors ?,color
324,DESC,How is silk screening done ?,manner
325,NUM,"What is the latitude and longitude of El Paso , Texas ?",other
326,HUM,Who made a boat out of gopher wood ?,ind
327,LOC,Where can I find a `` Fifth Element '' screensaver ?,other
328,HUM,Which Bloom County resident wreaks havoc with a computer ?,ind
329,DESC,How do you match a name to a social security number ?,manner
330,DESC,How does a rainbow form ?,manner
331,NUM,What is the normal resting heart rate of a healthy adult ?,other
332,NUM,What is the population of Ohio ?,other
333,NUM,How many calories are there in a Big Mac ?,count
334,DESC,Hazmat stands for what ?,def
335,ENTY,What creature scares people in the film `` Jaws '' ?,animal
336,HUM,What part did John Peter Zenger play in the deveopment of the newspaper in America ?,ind
337,HUM,Who followed Caesar ?,ind
338,ENTY,What are the four elements ?,substance
339,HUM,Who was the first woman golfer to earn a million ?,ind
340,ENTY,What 's the tallest piece on a chessboard ?,other
341,LOC,What is Answers.com 's address ?,other
342,LOC,Where can I buy movies on videotape online ?,other
343,HUM,Who does the advertizing for Frito-Lay ?,ind
344,HUM,Who is the leading competitor of Trans Union Company ?,gr
345,ENTY,What product did Robert Conrad dare people to knock off his shoulder ?,product
346,HUM,Who invented the radio ?,ind
347,NUM,What 's the American dollar equivalent for 8 pounds in the U.K. ?,count
348,ENTY,What are the different approaches of systems analysis ?,techmeth
349,DESC,How do doctors diagnose bone cancer ?,manner
350,HUM,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,ind
351,NUM,What is the speed of the Mississippi River ?,speed
352,ENTY,What are the developmental stages of a swimmer ?,other
353,HUM,What actor first portrayed James Bond ?,ind
354,LOC,What ocean is the largest in the world ?,other
355,HUM,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",ind
356,NUM,What year did Jack Nicklaus join the Professional Golfers Association tour ?,date
357,NUM,How many sonnets did Shakespeare write ?,count
358,DESC,What causes the redness in your cheeks when you blush ?,reason
359,HUM,Who won the Nobel Peace Prize in 1991 ?,ind
360,HUM,Who are the Challengers of the Unknown ?,gr
361,DESC,Define the Pheonix Club ?,def
362,LOC,Which city did Christian Crusaders fight to recapture from the Muslims ?,city
363,DESC,What does it mean `` Rupee Depreciates '' ?,def
364,ENTY,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,other
365,HUM,Who was the first coach of the Cleveland Browns ?,ind
366,DESC,How successful is arometherapy ?,manner
367,ENTY,What Jewish holiday saw the start of the 1973 Mideast War ?,event
368,DESC,How does a copier work ?,manner
369,NUM,What is the speed of the Mississippi River ?,speed
370,HUM,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,ind
371,ENTY,What is Dudley Do-Right 's horse 's name ?,animal
372,HUM,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,ind
373,LOC,Where does chocolate come from ?,other
374,ENTY,What TV game show once saw a contestant admit to picking his toes in the shower ?,cremat
375,HUM,What Soviet leader owned a Rolls-Royce ?,ind
376,LOC,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,other
377,ENTY,What war did Florence Nightingale tend the troops in ?,event
378,HUM,"Who wrote the song , `` Stardust '' ?",ind
379,NUM,How many Beatles ' records went #1 ?,count
380,HUM,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,ind
381,ABBR,What is the abbreviation of the company name ` General Motors ' ?,abb
382,LOC,What mountains lie between the Arkansas and Missouri rivers ?,mount
383,HUM,Who received the Will Rogers Award in 1989 ?,ind
384,DESC,What is the function of RAM ?,reason
385,LOC,What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,other
386,NUM,How many equal angles are there in an isosceles triangle ?,count
387,ENTY,What is the fear of cockroaches called ?,dismed
388,ENTY,What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,cremat
389,DESC,What is the use of a 24-hour clock instead of a 12-hour clock ?,desc
390,HUM,What was the name of the lawyer who represented Randy Craft ?,ind
391,HUM,What United States President had dreamed that he was assassinated ?,ind
392,ENTY,What film did Lee Marvin win the 1965 best actor Oscar for ?,cremat
393,LOC,Where is Basque country located ?,other
394,ENTY,What product does `` Mrs. Olsen '' promote ?,product
395,NUM,What time of day did Emperor Hirohito die ?,date
396,DESC,What is dry ice ?,def
397,ENTY,What 's the most powerful card in Euchre ?,other
398,DESC,What does `` intractable plantar keratoma '' mean ?,def
399,NUM,How many years did it take James Joyce to write Ulysses ?,count
400,ENTY,What crop failure caused the Irish Famine ?,food
401,LOC,What South Korean city is served by Kimpo International Airport ?,city
402,NUM,How many types of dogs ' tails are there - three,count
403,ENTY,What is the longest-running television series ?,cremat
404,ENTY,What predators exist on Antarctica ?,animal
405,DESC,What is the difference between a generator and an alternator ?,desc
406,DESC,How is energy created ?,manner
407,ENTY,What beer advertised that it had `` three rings '' ?,food
408,NUM,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,other
409,ENTY,What golfing accessory was patented by George Grant on December 12,techmeth
410,ENTY,What are the different types of plastic ?,other
411,DESC,How is it correct to say ` qigong ' ?,manner
412,LOC,What was the highest mountain on earth before Mount Everest was discovered ?,mount
413,LOC,"Where was the Ligurian Republic , 1797-185 , ?",other
414,LOC,What country 's people are the top television watchers ?,country
415,NUM,When was the women 's suffrage amendment ratified ?,date
416,HUM,What Polynesian people inhabit New Zealand ?,gr
417,ENTY,What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,cremat
418,LOC,What Nevada center has been dubbed The Biggest Little City in the World ?,city
419,HUM,"What President lived at 219 North Delaware Street , Independence , Missouri ?",ind
420,DESC,Give a reason for American Indians oftentimes dropping out of school .,reason
421,LOC,Where must a soccer goalie stand to be permitted to handle the ball ?,other
422,DESC,What is the difference between classical conditioning and operant conditioning ?,desc
423,LOC,In what U.S. state was the first woman governor elected ?,state
424,DESC,What are some interesting facts and information about dogsledding ?,desc
425,NUM,What year did Hitler die ?,date
426,HUM,What famous model was married to Billy Joel ?,ind
427,ENTY,What kind of animal is Babar ?,animal
428,DESC,What is Jane Goodall known for ?,reason
429,ENTY,What killed Bob Marley ?,other
430,NUM,How much money are Dumbo 's ears insured for ?,money
431,HUM,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,ind
432,HUM,Who is Stein Eriksen ?,desc
433,DESC,What does the name Billie mean ?,def
434,HUM,Who is the fastest swimmer in the world ?,ind
435,LOC,What is the highest peak in Africa ?,mount
436,LOC,Where is Procter & Gamble headquartered in the U.S. ?,other
437,LOC,What desert has been called The Garden of Allah ?,other
438,ENTY,What do bicornate animals have two of ?,other
439,DESC,What function does a community 's water tower serve ?,reason
440,ENTY,What is a fear of weakness ?,dismed
441,NUM,How many miles is it to Ohio from North Carolina ?,count
442,NUM,How much snow equals an inch of rain ?,count
443,ABBR,What does G.M.T. stand for ?,exp
444,DESC,What does Inuit and Eskimo mean ?,def
445,ENTY,What song served as the closing theme of The Johnny Cash Show ?,cremat
446,ENTY,What field sport did dentist William Beers promote and write a standard book of rules for ?,sport
447,DESC,How do I tie dye clothes ?,manner
448,NUM,When does the average teenager first have intercourse ?,date
449,DESC,Why doesn 't www.answers.com have any answers to my questions ?,reason
450,HUM,What actor 's autobiography is titled All My Yesterdays ?,ind
451,HUM,What Russian master spy lived in the U.S. under the name Emil Goldfus ?,ind
452,LOC,Where 's the 19th hole on a golf course ?,other
453,DESC,What 's nature 's purpose for tornadoes ?,reason
454,HUM,Who played the original Charlie 's Angels ?,ind
455,LOC,Where can I find a person 's address from a telephone number ?,other
456,ENTY,"What English word comes from the Old French covrefeu , meaning cover fire ?",word
457,ENTY,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,instru
458,LOC,Where did Sarge Steel get his metal hand ?,other
459,DESC,What makes popcorn pop ?,reason
460,HUM,Who wrote The Night of the Iguana ?,ind
461,ENTY,Where does your hair grow the fastest ?,body
462,LOC,What country did King Gustav V reign over from 197 to 195 ?,country
463,HUM,Who painted Mother and Child ?,ind
464,NUM,What is the speed of the Mississippi River ?,speed
465,LOC,In what area of the world was the Six Day War fought ?,other
466,LOC,What is the brightest star visible from Earth ?,other
467,ENTY,What film marked Robert Redford 's directorial debut ?,cremat
468,HUM,What was Mao 's second name ?,ind
469,ENTY,What film or films has Jude Law appeared in ?,cremat
470,LOC,Where do hyenas live ?,other
471,HUM,Who is the `` Queen Mother '' ?,desc
472,ENTY,What 's the most commonly-spoken language in Belgium ?,lang
473,HUM,Who has more DNA - a man or a woman ?,ind
474,DESC,What are Maid-Rites ?,def
475,ENTY,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",cremat
476,HUM,What level of government or governmental agency is responsible for dealing with racism ?,gr
477,NUM,How many referees work a soccer game ?,count
478,ENTY,What cocktail do you concoct with whisky and sweet vermouth ?,food
479,ENTY,How do you say `` fresh '' in Spanish ?,termeq
480,DESC,What do bee hives do in cranberry bogs ?,desc
481,DESC,What caused the Lynmouth floods ?,reason
482,NUM,When is the Tulip Festival in Michigan ?,date
483,HUM,"Who came up with the name , El Nino ?",ind
484,ENTY,What movie did Madilyn Kahn star in with Gene Wilder ?,cremat
485,ENTY,What type of bridge is the Golden Gate Bridge ?,other
486,HUM,What dictator has the nickname `` El Maximo '' ?,ind
487,HUM,What stereo manufacturer is `` Slightly ahead of its time '' ?,gr
488,LOC,What U.S. city is The Queen of the Pacific ?,city
489,HUM,What TV sitcom character had the maiden name Ethel Potter ?,ind
490,ENTY,What was the first Lifesaver flavor ?,food
491,HUM,Who kept the most famous diary in the English language ?,ind
492,LOC,Where can I find out the top 1 singles ?,other
493,NUM,How many degrees cooler is the inside of a cucumber than the air outside ?,count
494,HUM,What Spanish artist painted Crucifixion ?,ind
495,ENTY,What is the Jewish bible called ?,cremat
496,DESC,Why is the grass green ?,reason
497,DESC,What is a firewall ?,def
498,HUM,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,ind
499,HUM,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,gr
500,NUM,How long does it take for Spider-Man 's web to evaporate ?,period
501,HUM,Who was Randy Steven Craft 's lawyer ?,ind
502,LOC,What was known as the Spice Island ?,other
